short_question,short_answer,tags,label,answer_length,question_length
how can exercise affect my mood,hi januvia is a effective drug and works wonders in such cases if metformin is causing problems januvia is the best option for you you may require a bit of time for getting adjusted to this new drug monitor sugar levels regularly thanks,['exercise'],-1.0,236,31
my mom is in a depression…what can i do,just try talking to her tell her how much u care and maybe try doing things with her or she can see a therapist and figure out what caused the depression anti depressants,['depression'],1.0,170,39
schould a stress test take 2&12 hrs,no that would be stressful for the patient and the person conducting the test unless they are doing more than just a stress test in which case it could take longer this test usually takes less than a half hour or so a bit longer for some,[''],1.0,237,35
i do not make earwax am i dying,well i do not know how old you are but metformin is fine and less expensive unless you have good insurance januvia no generic is very costly is your doctor a diabetes specialist endocrinologist,[''],-1.0,193,31
how does alcohol affect pregnancy,infections are caused by germs microorganisms like viruses or bacteria ammonia does not have germs but it can cause inflammation in the nasal membranes and sinuses i suspect you are experiencing a chemical inflammation not an infection,['pregnancy'],-1.0,235,33
can a uti be misdiagnosed as chlamydia,hi there are 2 schools of thought one says yes you can be the other says no it is chlamydia but the real thing to do would be wait around 6 weeks then go get retested that way you would know for sure hope this helps good luck,['chlamydia'],1.0,225,38
what is a hemiplegic migraine,hi conjunctival allergy seems to be the cause get allergen tests done use sunglasses when you go out thanks,['migraine'],-1.0,107,29
what are the causes of colon cancer,sounds like a venous anomaly  a slightly larger than usual vein that shows up on mri scan its usually nothing to worry about,['colon cancer'],-1.0,124,35
what is a fibroscan,stys are not contagious so this person can work with infants and children no problem,[''],-1.0,84,19
bleeding after frenuloplasty operation,it seems that some amount of blood may have accumulated under the operative stitches that seems to have drained out the wound will heal fast now if this episode happens repeatedly then its of concern presently nothing to worry,['frenuloplasty'],1.0,226,38
does diet sodas make arthritis worse,there is no nutritional value in them and the use of artificial sweeteners in them is of enough concern that i would try & find a healthier way to quench my thirst not to mention the cancer causing caramel coloring found in them,['diet' 'soda' 'arthritis'],1.0,228,36
just found out i have hepatitis c,upload us the cxr please,['just found out i have hepatitis c?'],-1.0,24,33
missed my period for 3 months now,its very rare that without pregnancy you do not get periods for months may be rarely due to hormonal changes i suggest u get a usg abdomen and blood checked consult a gynecologist thanks,['menstruation'],1.0,186,33
i have left side pain and urinate blood,hi though your health is good initial 3 months of pregnancy is the most critical period as the embryo gets implanted in the uterus during this period maximum care and rest is needed during this phase and i suggest you should cancel the trip thanks,['i urinate blood'],-1.0,247,39
how is schizophrenia diagnosed,the two medications are compatible but many clinicians do not use antihistamines in children who have ear infections since this can thicken the middle ear fluid and make it more difficult to clear in some not all children,['schizophrenia'],-1.0,221,30
what is orthostatic hypotension,if you just lowered the dose then no you can not use potassium but if u completely stoped using candesartan then you can use potassium supplement safely good luck,['low blood pressure'],-1.0,162,31
can i pass pneumonia to my dog,hi its a big problem with bv it keeps coming back but google bv and sea salt you may find some interesting answer is that my help you lots of good info good luck,['pneumonia' 'dog'],-1.0,161,30
how do i get my questions public,all of your posted questions on this site are public open for everyone to read,[''],1.0,78,32
do i need to fast for psa blood test,no this is not a fasting test,['blood test' 'prostate-specific antigen test'],1.0,29,36
can alcohol consumption cause acne,no alcohol consumption will not cause acne but it certainly can cause a plethora of other problems drink responsibly and have your acne treated by a medical professional or dermatologist,['consumption' 'acne'],1.0,186,34
what is prostate cancer,pregnancy is a possibility,['prostate cancer'],-1.0,26,23
is tens e stim safe to use for prostate,hi you can consider tens is the most safe pain relief modality if used properly the electrode placement should be either on the lower back and rectal or above the penis and under the testicles,['is tens technology safe'],1.0,192,39
large growth on foot,my husbands father had them and i also worked in the medical field yes they are they can also cause terrible pain,['growth on foot'],-1.0,113,20
can you help me read my mri arthrogram,would u please provide all the sections also the image is not clear please upload another one is there any swelling hotness redness limitation of movement waiting for your reply,['read my mri arthrogram'],1.0,177,38
can osteoarthritis cause deafness,could be som thyroid problems especially if your throat is sore or you feel like you are choking should bring to your physician is attention should get checked out further could be an array of symptoms,['osteoarthritis'],-1.0,201,33
